Site,Date,Keyword,Product_Id,Impression,Click,Spend,OrderQty,Revenue,CTR,CVR,CPC,CPA,ROAS,Total_ROAS,Brand_Type,Ad_Type,Group_Name,Price_Type,Sales_Type,Ad_Type_11st,Template_Type,Campaign_Id,Campaign,Group_Id,Display_Type,Target_Id,Ad_Id,Brand_Name,Product_Name,Sales_Product_Id,Sales_Option_Id,Store_Id,Planshop_Id,Keyword_Type,Keyword_Id,Display_Info,AvgRank,Total_OrderQty_1D,Total_SalesQty_1D,Total_Revenue_1D,Total_ROAS_1D,Direct_OrderQty_1D,Direct_SalesQty_1D,Direct_Revenue_1D,Direct_ROAS_1D,Indirect_OrderQty_1D,Indirect_SalesQty_1D,Indirect_Revenue_1D,Indirect_ROAS_1D,Total_OrderQty_2W,Total_SalesQty_2W,Total_Revenue_2W,Direct_SalesQty_2W,Indirect_OrderQty_2W,Indirect_SalesQty_2W,Indirect_Revenue_2W,Start_Campaign,End_Campaign
11번가,2021-10-31,마몽드커버핏파우더팩트,2780108648,8,1,99,0,0,0.125,0.0,99.0,inf,0.0,0.0,프리미엄,포커스클릭,02_마몽드_검색직접_2,,,,,117637,03_마몽드_PR,685332,검색결과지면,14713865,,,,,,,,수동,81856577.0,,1.0,,,,,,,,,,,,,,,,,,,,,
11번가,2021-10-31,,3075560834,1018,1,187,0,0,0.0009823182711198428,0.0,187.0,inf,0.0,0.0,프리미엄,포커스클릭,00_마몽드_브랜드,,,,,117637,03_마몽드_PR,489078,유저개인화지면,14713894,,마몽드,,,,,,수동,,,4.0,,,,,,,,,,,,,,,,,,,,,
11번가,2021-10-31,mamonde,2744226294,1,1,165,0,0,1.0,0.0,165.0,inf,0.0,0.0,프리미엄,포커스클릭,00_마몽드_브랜드,,,,,117637,03_마몽드_PR,489078,검색결과지면,14713895,,,,,,,,수동,78296389.0,,19.0,,,,,,,,,,,,,,,,,,,,,
11번가,2021-10-31,,2744226294,329,1,99,0,0,0.00303951367781155,0.0,99.0,inf,0.0,0.0,프리미엄,포커스클릭,00_마몽드_브랜드,,,,,117637,03_마몽드_PR,489078,유저개인화지면,14713895,,,,,,,,수동,,,9.0,,,,,,,,,,,,,,,,,,,,,
11번가,2021-10-31,,1967599512,1197,2,484,0,0,0.001670843776106934,0.0,242.0,inf,0.0,0.0,프리미엄,포커스클릭,00_마몽드_브랜드,,,,,117637,03_마몽드_PR,489078,유저개인화지면,14713896,,,,,,,,수동,,,4.0,,,,,,,,,,,,,,,,,,,,,
11번가,2021-10-31,아이오페,3024948642,281,9,3234,0,0,0.03202846975088968,0.0,359.3333333333333,inf,0.0,0.0,프리미엄,포커스클릭,00_아이오페_브랜드,,,,,112383,01_아이오페_PR,489076,검색결과지면,14986745,,아이오페,,,,,,수동,78623908.0,,1.0,,,,,,,,,,,,,,,,,,,,,
11번가,2021-10-31,,3024948642,2508,5,1595,0,0,0.001993620414673046,0.0,319.0,inf,0.0,0.0,프리미엄,포커스클릭,00_아이오페_브랜드,,,,,112383,01_아이오페_PR,489076,유저개인화지면,14986745,,아이오페,,,,,,수동,,,6.0,,,,,,,,,,,,,,,,,,,,,
11번가,2021-10-31,아이오페,2221462420,179,2,660,0,0,0.0111731843575419,0.0,330.0,inf,0.0,0.0,프리미엄,포커스클릭,00_아이오페_브랜드,,,,,112383,01_아이오페_PR,489076,검색결과지면,14986746,,아이오페,,,,,,수동,78623868.0,,8.0,,,,,,,,,,,,,,,,,,,,,
11번가,2021-10-31,맨올인원,2857317384,5,1,781,0,0,0.2,0.0,781.0,inf,0.0,0.0,럭셔리,포커스클릭,01_헤라_검색자동,,,,,117857,05_헤라_LX,487142,검색결과지면,15094462,,,,,,,,자동,0.0,,2.0,,,,,,,,,,,,,,,,,,,,,
11번가,2021-10-31,그랜드십일절,2857317384,16,1,902,0,0,0.0625,0.0,902.0,inf,0.0,0.0,럭셔리,포커스클릭,01_헤라_검색자동,,,,,117857,05_헤라_LX,487142,검색결과지면,15094462,,,,,,,,자동,0.0,,2.0,,,,,,,,,,,,,,,,,,,,,
11번가,2021-10-31,헤라옴므,2857317384,55,8,3366,0,0,0.14545454545454545,0.0,420.75,inf,0.0,0.0,럭셔리,포커스클릭,01_헤라_검색자동,,,,,117857,05_헤라_LX,487142,검색결과지면,15094462,,,,,,,,자동,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,
